zona_basica_salud;fecha_informe;Confirmados 14 días;Tasa Incidencia;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Prosperidad;31/05/2020 9:00;;5,43;685;1238,83;215
Puerta Bonita;31/05/2020 9:00;15;101,24;239;1613,12;216
Puerta de Madrid;31/05/2020 9:00;;22,5;154;1154,86;217
Puerta del Ángel;31/05/2020 9:00;6;33,81;209;1177,86;218
Quinta de los Molinos;31/05/2020 9:00;;26,44;89;784,42;219
Rafael Alberti;31/05/2020 9:00;;24,82;226;1121,98;220
Ramón y Cajal;31/05/2020 9:00;;15,16;296;1495,7;221
Rascafría;31/05/2020 9:00;;0;7;265,55;222
Reina Victoria;31/05/2020 9:00;;14,42;503;1450,49;223
Rejas;31/05/2020 9:00;;17,96;94;562,77;224
Reyes Católicos;31/05/2020 9:00;9;43,11;174;833,37;225
Reyes Magos;31/05/2020 9:00;8;30,3;419;1586,76;226
Rivas - La Paz;31/05/2020 9:00;;17,08;243;1037,53;227
Rivas - Santa Mónica;31/05/2020 9:00;;0;212;570,44;228
Rivas - 1º de Mayo;31/05/2020 9:00;;14,51;123;446,22;229
Robledo de Chavela;31/05/2020 9:00;;0;47;509,04;230
Rosa Luxemburgo;31/05/2020 9:00;14;58,07;168;696,89;231
San Andrés;31/05/2020 9:00;;0;233;993,86;232
San Blas;31/05/2020 9:00;;15,76;161;507,5;233
San Cristóbal;31/05/2020 9:00;;14,52;186;900,46;234
San Diego;31/05/2020 9:00;12;46,48;345;1336,33;235
San Fermín;31/05/2020 9:00;;4,22;245;1034,02;236
San Fernando;31/05/2020 9:00;9;45,75;221;1123,31;237
San Isidro;31/05/2020 9:00;7;40,63;197;1143,42;238
San Juan de la Cruz;31/05/2020 9:00;10;40,07;292;1169,97;239
San Lorenzo de El Escorial;31/05/2020 9:00;6;28,19;196;921,01;240
San Martín de Valdeiglesias;31/05/2020 9:00;;45,23;114;1031,21;241
San Martín de la Vega;31/05/2020 9:00;;20,87;97;506;242
Sanchinarro;31/05/2020 9:00;;6,84;183;626,03;243
Santa Eugenia;31/05/2020 9:00;;12,34;321;1320,39;244
Sector Embarcaciones;31/05/2020 9:00;;10,53;199;698,69;245
Sector III;31/05/2020 9:00;7;24,33;296;1028,85;246
Sector Oficios;31/05/2020 9:00;;10,4;229;1190,23;247
Segovia;31/05/2020 9:00;;21,98;196;861,5;248
Segre;31/05/2020 9:00;34;89,34;476;1250,79;249
Sevilla la Nueva;31/05/2020 9:00;6;48,69;157;1274,14;250
Sierra de Guadarrama;31/05/2020 9:00;;6,57;124;814,93;251
Silvano;31/05/2020 9:00;12;29,37;339;829,62;252
Simancas;31/05/2020 9:00;;17,91;242;866,64;253
Soto del Real;31/05/2020 9:00;;15,95;172;686;254
Sánchez Morate;31/05/2020 9:00;;21,87;150;820,03;255
Torrelaguna;31/05/2020 9:00;11;171,63;49;764,55;256
Torrelodones;31/05/2020 9:00;;15,55;388;1206,81;257
Torres de la Alameda;31/05/2020 9:00;;3,87;201;778,04;258
V Centenario;31/05/2020 9:00;22;139,53;118;748,4;259
Valdeacederas;31/05/2020 9:00;6;23,04;365;1401,85;260
Valdebernardo;31/05/2020 9:00;6;37,81;273;1720,55;261
Valdelasfuentes;31/05/2020 9:00;16;60,86;213;810,13;262
Valdemorillo;31/05/2020 9:00;;7,99;49;391,44;263
Valdemoro;31/05/2020 9:00;6;13,86;519;1198,61;264
Valderribas;31/05/2020 9:00;8;40,19;128;643,05;265
Valdezarza;31/05/2020 9:00;11;23,92;654;1421,96;266
Valle Inclán;31/05/2020 9:00;;38,33;131;1255,15;267
Valle de la Oliva;31/05/2020 9:00;;14,34;163;778,9;268
Valleaguado;31/05/2020 9:00;7;32,93;208;978,46;269
Vandel;31/05/2020 9:00;8;35,73;305;1362,28;270
Vicente Muzas;31/05/2020 9:00;;4,8;175;840,7;271
Vicálvaro - Artilleros;31/05/2020 9:00;;10,73;266;1427,57;272
Vicálvaro - Villablanca;31/05/2020 9:00;;28,27;185;1046,03;273
Villa Vallecas;31/05/2020 9:00;;14,65;497;1819,98;274
Villa del Prado;31/05/2020 9:00;6;64,12;190;2030,35;275
Villaamil;31/05/2020 9:00;;15,99;350;1399,22;276
Villanueva de la Cañada;31/05/2020 9:00;13;36,5;312;875,91;277
Villanueva del Pardillo;31/05/2020 9:00;;5,82;106;617;278
Villarejo de Salvanés;31/05/2020 9:00;;21,2;89;629,06;279
Villaviciosa de Odón;31/05/2020 9:00;6;21,56;222;797,56;280
Vinateros - Torito;31/05/2020 9:00;22;71,09;464;1499,29;281
Virgen de Begoña;31/05/2020 9:00;;41,48;187;1939,03;282
Virgen del Cortijo;31/05/2020 9:00;;14,23;132;938,97;283
Virgen del Val;31/05/2020 9:00;;28,29;135;954,81;284
Vista Alegre;31/05/2020 9:00;9;24,35;383;1036,23;285
Zofío;31/05/2020 9:00;6;19,07;337;1070,96;286
